county,prop_green,prop_crosswalk,prop_not_single_family_house,prop_single_lane,prop_triple_lane,prop_visible_wires,prop_sidewalk,prop_dilapidated_building
19187,0.751577711,0.007949709,0.34817279,0.577858226,0,0.560931461,0.151582604,0.171200039
19189,0.75334873,0.003926097,0.380554273,0.526466513,0,0.459953811,0.024295612,0.138614319
19191,0.858075113,0.00634822,0.312838498,0.583725473,0,0.401935541,0.083148362,0.18938116
19193,0.874951789,0.021619884,0.229912149,0.665566745,0,0.478572959,0.335847439,0.131904864
19195,0.588231917,0.002985075,0.500057405,0.502698048,0,0.508840413,0.009873708,0.295063146
19197,0.685841295,0.004743896,0.397525212,0.562732219,0,0.568438163,0.089735934,0.272558386
20001,0.893200893,0.014476014,0.173173173,0.796488796,0,0.542542543,0.164010164,0.10957111
20003,0.86377709,0.005611455,0.200657895,0.774574303,0,0.554179567,0.090557276,0.130804954
20005,0.877663773,0.011707445,0.237569061,0.693435938,0,0.477703236,0.137858458,0.134175217
20007,0.812832039,0.010420924,0.2772783,0.765835717,0,0.528810789,0.154474867,0.133837352
20009,0.608433735,0.022790463,0.54381161,0.562979189,0,0.575954166,0.171918443,0.201322774
20011,0.854816514,0.008944954,0.27530581,0.77882263,0,0.507721713,0.09235474,0.257415902
20013,0.730760786,0.003787463,0.400483039,0.664178285,0,0.526731804,0.079481831,0.174991766
20015,0.837517387,0.00663639,0.29955925,0.825493121,0,0.447855742,0.065123762,0.162725612
20017,0.924595142,0.001771255,0.197368421,0.805668016,0,0.445850202,0.085273279,0.097165992
20019,0.867358079,0.004912664,0.336244541,0.621179039,0,0.508187773,0.100982533,0.156113537
20021,0.899091735,0.002234332,0.151625795,0.851008174,0,0.50475931,0.052479564,0.081544051
20023,0.771679473,0.006037322,0.36388584,0.716245884,0,0.493962678,0.12349067,0.110318332
20025,0.881663113,0.01652452,0.224946695,0.781982942,0,0.552238806,0.237739872,0.167377399
20027,0.698640581,0.00163844,0.392576731,0.81276361,0,0.457027448,0.021429498,0.143955616
20029,0.678102732,0.001179064,0.415671297,0.784615779,0,0.453170657,0.024055467,0.140462398
20031,0.795428106,0.005176826,0.333585389,0.65262913,0,0.497847836,0.060900419,0.141053979
20033,0.870786517,0.007303371,0.31011236,0.73988764,0,0.587640449,0.147191011,0.113483146
20035,0.83723335,0.007563862,0.291945923,0.762667075,0,0.49025315,0.076691816,0.154321933
20037,0.908198018,0.007976094,0.157390521,0.810331568,0,0.481773637,0.083056843,0.134538903
20039,0.774683544,0.005063291,0.339662447,0.778059072,0,0.525738397,0.13628692,0.137974684
20041,0.800193852,0.00311548,0.300643866,0.795399474,0,0.496936444,0.048705345,0.106705206
20043,0.853043246,0.00280299,0.229044314,0.753870796,0,0.504271223,0.083288841,0.104244527
20045,0.901974952,0.010624063,0.193360629,0.787237744,0,0.420319525,0.184195033,0.120464033
20047,0.867098248,0.012185834,0.243335872,0.779131759,0,0.567022087,0.187738005,0.125285605
20049,0.951866405,0.000654879,0.097576948,0.853962017,0,0.466273739,0.117223314,0.066142764
20051,0.563771585,0.027184134,0.420157292,0.636006155,0,0.569584544,0.312446572,0.343733972
20053,0.599486254,0.001527354,0.576575951,0.569355735,0,0.51534296,0.057831158,0.188142183
20055,0.548671428,0.015601879,0.586501962,0.562504021,0,0.53223316,0.1592035,0.210641446
20057,0.61691324,0.01344659,0.516048144,0.561967151,0,0.638540622,0.11559679,0.179789368
20059,0.853687591,0.010410193,0.272218769,0.666096955,0,0.500673296,0.116739175,0.115288999
20061,0.811647362,0.015508366,0.257722008,0.799034749,0,0.458429858,0.1996139,0.192535393
20063,0.570422535,0.001341382,0.483568075,0.745472837,0,0.441649899,0.063715627,0.228034876
20065,0.784140969,0.008443465,0.349118943,0.701908957,0,0.560572687,0.064610866,0.064243759
20067,0.635153354,0.016009437,0.524603977,0.612908662,0,0.711830131,0.161274014,0.148634985
20069,0.665838304,0.004970179,0.458581842,0.619118622,0,0.624917164,0.081676607,0.132372432
20071,0.565849923,0.003062787,0.568147014,0.683001531,0,0.450995406,0.118683002,0.189127106
20073,0.869019139,0.004784689,0.227422249,0.827751196,0,0.510167464,0.1034689,0.149521531
20075,0.662732919,0.004968944,0.447826087,0.772049689,0,0.57826087,0.144099379,0.191304348
20077,0.800469484,0.010954617,0.280438185,0.802190923,0,0.497965571,0.087010955,0.1228482
20079,0.816957665,0.005338817,0.308306804,0.832232614,0,0.402210666,0.050451822,0.148003876
20081,0.669139466,0.008407517,0.422848665,0.667655786,0,0.635014837,0.208704253,0.201285856
20083,0.804226919,0.027808676,0.276974416,0.726362625,0,0.572858732,0.219132369,0.150166852
20085,0.905724055,0.001842888,0.215351481,0.892313158,0,0.39584351,0.020915671,0.15415871
